Date,Open,High,Low,Close,Adj Close,Volume
2020-11-18,65700.0,66200.0,64700.0,64800.0,59935.33203125,22963790
2020-11-19,64100.0,64800.0,63900.0,64600.0,59750.35546875,16590290
2020-11-20,63900.0,65200.0,63900.0,64700.0,59842.84765625,15068682
2020-11-23,64800.0,67800.0,64700.0,67500.0,62432.640625,27134398
2020-11-24,67900.0,69500.0,67000.0,67700.0,62617.62109375,32158235
2020-11-25,67900.0,68300.0,66500.0,66600.0,61600.21484375,32447065
2020-11-26,66100.0,68000.0,66000.0,68000.0,62895.109375,19023323
2020-11-27,68000.0,68400.0,67600.0,68200.0,63080.09765625,14063434
2020-11-30,68400.0,68600.0,66700.0,66700.0,61692.70703125,43811016
2020-12-01,67100.0,68300.0,67100.0,67800.0,62710.125,22327173
2020-12-02,68400.0,69900.0,68300.0,69500.0,64282.49609375,29703942
2020-12-03,70100.0,70500.0,69300.0,69700.0,64467.4921875,23677989
2020-12-04,70400.0,72100.0,70100.0,71500.0,66132.3515625,28130533
2020-12-07,72400.0,73500.0,71900.0,72900.0,67427.25,28490496
2020-12-08,72200.0,72900.0,71600.0,71700.0,66317.3359375,25000338
2020-12-09,72100.0,73900.0,72000.0,73900.0,68352.1875,24077996
2020-12-10,72700.0,73800.0,72500.0,72900.0,67427.25,39882928
2020-12-11,73500.0,73800.0,73100.0,73400.0,67889.7265625,18486672
2020-12-14,73600.0,74500.0,73200.0,73800.0,68259.6875,21510415
2020-12-15,73800.0,74100.0,73300.0,73800.0,68259.6875,20863671
2020-12-16,74100.0,74500.0,73400.0,73800.0,68259.6875,17512081
2020-12-17,73400.0,73700.0,72600.0,73300.0,67797.2265625,24293214
2020-12-18,73300.0,73700.0,73000.0,73000.0,67519.75,17613029
2020-12-21,73100.0,73400.0,72000.0,73000.0,67519.75,20367355
2020-12-22,72500.0,73200.0,72100.0,72300.0,66872.296875,16304910
2020-12-23,72400.0,74000.0,72300.0,73900.0,68352.1875,19411326
2020-12-24,74100.0,78800.0,74000.0,77800.0,71959.4140625,32502870
2020-12-28,79000.0,80100.0,78200.0,78700.0,72791.8359375,40085044
2020-12-29,78800.0,78900.0,77300.0,78300.0,74244.484375,30339449
2020-12-30,77400.0,81300.0,77300.0,81000.0,76804.6484375,29417421
2021-01-04,81000.0,84400.0,80200.0,83000.0,78701.0625,38655276
2021-01-05,81600.0,83900.0,81600.0,83900.0,79554.4453125,35335669
2021-01-06,83300.0,84500.0,82100.0,82200.0,77942.4921875,42089013
2021-01-07,82800.0,84200.0,82700.0,82900.0,78606.2265625,32644642
2021-01-08,83300.0,90000.0,83000.0,88800.0,84200.6484375,59013307
2021-01-11,90000.0,96800.0,89500.0,91000.0,86286.7109375,90306177
2021-01-12,90300.0,91400.0,87800.0,90600.0,85907.4140625,48682416
2021-01-13,89800.0,91200.0,89100.0,89700.0,85054.03125,36068848
2021-01-14,88700.0,90000.0,88700.0,89700.0,85054.03125,26393970
2021-01-15,89800.0,91800.0,88000.0,88000.0,83442.078125,33431809
